Ticket       | Ativo    | Volume | Entrada    | Saída      | Retorno    | Data Fim
------------------------------------------------------------------------------------------
1539581420   | USDCHF   | 0.9    | 0.78766    | 0.79040    | 311.99     | 2026-03-18 14:49:34
1538159469   | UK100    | 0.9    | 10383.90000 | 10416.70000 | 39.12      | 2026-03-18 03:24:38
1537320689   | XAGUSD   | 0.4    | 81.02900   | 80.66000   | -183.20    | 2026-03-17 11:36:43
1536880767   | USDCNH   | 0.9    | 6.89091    | 6.88636    | -59.47     | 2026-03-17 08:42:59
1536660014   | USDCNH   | 0.4    | 6.88916    | 6.88454    | -26.20     | 2026-03-17 05:50:16
1530004167   | XAUAUD   | 0.01   | 7196.42000 | 7182.56000 | 9.19       | 2026-03-13 11:55:28
1530420811   | USDHKD   | 1.0    | 7.82884    | 7.82928    | 5.62       | 2026-03-13 04:02:11
1529977846   | XAGAUD   | 0.01   | 118.24100  | 116.86000  | 9.45       | 2026-03-13 03:50:33
1529977771   | XAGUSD   | 0.01   | 83.62500   | 82.66800   | 9.49       | 2026-03-13 03:38:21
1530361927   | USDHKD   | 0.25   | 7.82710    | 7.82899    | 5.91       | 2026-03-13 00:48:25
